compound_id,base_rdkit_smiles,avg_pIC50,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CHEMBL2205329,N#CC(CCN1CCC(O)(c2ccccc2)CC1)(c1ccccc1)c1ccccc1,5.769551078621726,11.031379781329932,-4.906544495884778,11.031379781329932,1.1009056122448977,0.6465701332363548,396.5339999999997,368.3100000000002,396.2201635160008,152,0,0.2113547271957529,-0.385068800548158,0.385068800548158,0.2113547271957529,0.9666666666666668,1.4666666666666666,1.9333333333333331,2.322565125146467,2112.4719234384534,45.38386867697599,42.80267548146378,14.80267548146378,26.01362518897292,22.00679962669571,8.098551336231846,5.588810009972825,5.588810009972825,3.812444538481869,3.812444538481869,2.339892426860441,2.339892426860441,-2.929999999999999,399570916375.3982,5.455903321671152,8.832831701073124,4.025235095706693,218.1967307743593,10.00871792195769,5.41499046939678,0.0,1.4311996572326342,0.0,0.0,0.0,0.0,5.261891554738487,0.0,90.63628061494944,35.80912917907913,35.93968172699048,32.231650466329256,42.11928920770317,0.0,6.693091211971121,4.899909730850478,0.0,30.134815984368604,19.49057905294784,107.32663509004044,0.0,6.069221312792274,0.0,0.0,0.0,0.0,30.93049663213816,11.016041280380469,11.33111286753076,72.81961019567511,90.63628061494944,0.0,0.0,0.0,47.260000000000005,161.8519398582074,10.744925779419368,0.0,0.0,0.0,6.069221312792274,0.0,0.0,0.0,5.1088081911072125,32.95864644914769,241.17322638868944,0.0,-1.1009056122448977,15.460132896423149,-13.506892518814452,0.0,-19.71990728393855,-13.989737654863248,-14.31591621525154,0.0,0.2962962962962963,30,1,3,0,1,1,3,0,3,3,1,3,7,0,1,1,4,4.869980000000004,119.90680000000005,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL490,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,4.496209316942819,14.477423364268242,-4.446224844104312,14.477423364268242,0.7933763532471423,0.9339413767145556,329.3709999999997,309.21100000000007,329.1427217200005,126,0,0.2308037389803867,-0.4930883683108535,0.4930883683108535,0.2308037389803867,1.3333333333333333,2.1666666666666665,3.0416666666666665,2.126411078339938,1555.5359913136615,34.12687384302478,31.54992293990077,11.549922939900776,19.59758286966248,16.30815429889612,6.360940703396161,4.253346492622573,4.253346492622573,2.764465160059524,2.764465160059524,1.7321201235440264,1.7321201235440264,-2.27,932104806.5546345,4.6672443019395145,6.690274020416143,3.1696483131854296,168.24492972992823,19.520402214688524,15.72009186499844,11.49902366656781,6.745045584503197,0.0,0.0,0.0,4.39041504767482,0.0,0.0,12.08483741532659,48.49686859335858,29.399304526704075,18.895812248448262,46.05725855463738,0.0,0.0,5.309813353288376,5.893957685363079,12.266882586692455,26.29775019605137,53.67760328638595,0.0,17.248535499851716,19.520402214688524,4.39041504767482,17.248535499851716,0.0,26.29775019605137,0.0,11.711178526408974,43.87474664562366,42.29693095364306,1.4118420783282006,0.0,0.0,39.72,120.69454260763295,5.76117360384504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.29608495079232,195.0407558825112,0.0,0.0,-0.8390198309453365,-1.6810352047410129,-13.654348388783385,-9.83778577494738,-4.228949593943284,-15.54961708915086,0.0,0.3684210526315789,24,1,4,0,2,2,2,0,2,4,1,5,4,0,1,1,4,3.326500000000002,88.17770000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL2205328,N#CC(CCN1CC=C(c2ccccc2)CC1)(c1ccccc1)c1ccccc1,5.376750709602099,10.974115189919194,-4.660222216973213,10.974115189919194,0.8424102418745272,0.5519949815682793,378.51899999999966,352.3110000000001,378.2095988320007,144,0,0.108306018336922,-0.2992541026317495,0.2992541026317495,0.108306018336922,0.9310344827586208,1.4827586206896552,2.034482758620689,2.294676683000662,2094.0833265957604,42.8314624341687,40.39442719099992,14.394427190999917,24.7356570876442,20.89442719099992,7.894427190999916,5.282623792124927,5.282623792124927,3.6083203932499375,3.6083203932499375,2.243217844093695,2.243217844093695,-3.1499999999999986,118631711563.2838,5.3059123290585335,8.901157965331096,4.159608404017348,209.8162827315162,0.0,5.41499046939678,0.0,0.0,0.0,0.0,4.899909730850478,0.0,5.261891554738487,0.0,96.68835236098502,35.00930880781901,33.19816461465003,28.00135821151579,35.63972246042572,5.573104530069267,5.261891554738487,4.899909730850478,0.0,18.160840272055538,19.49057905294784,113.378706836076,0.0,6.069221312792274,0.0,0.0,0.0,0.0,24.39048878379831,5.41499046939678,11.33111286753076,65.07592673817554,96.68835236098502,0.0,5.573104530069267,0.0,27.03,161.50314042199918,8.003408667078928,0.0,0.0,0.0,0.0,6.069221312792274,0.0,0.0,0.0,32.89820534808528,222.47841647953496,0.0,-0.8424102418745272,10.974115189919194,-9.890217724853404,0.0,-19.60121112660511,-8.640881047188547,-13.14447819559923,0.0,0.2222222222222222,29,0,2,0,1,1,3,0,3,2,0,2,6,0,0,0,4,5.675680000000005,119.37000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL562876,COc1cccc2c(=O)c3ccccc3n(CCCCOc3ccccc3)c12,6.782516055786093,13.885960052066595,-4.440984032501891,13.885960052066595,0.1746444739256789,0.3372028885092139,373.4519999999997,350.26800000000014,373.1677935960007,142,0,0.1968606793816618,-0.4945468127926965,0.4945468127926965,0.1968606793816618,0.9642857142857144,1.75,2.607142857142857,2.2416522081168377,2177.792258446302,39.461218946165616,36.671958466891546,13.671958466891548,22.901165329507563,18.9414411194096,7.441441119409595,4.937985844543609,4.937985844543609,3.397906945207934,3.397906945207934,2.2959473166084354,2.2959473166084354,-3.269999999999999,20195193000.37395,5.411153677887699,8.173378586944152,3.4557379493919327,195.80909049147343,14.040825555391454,11.49902366656781,5.428790391900541,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,36.25451224597977,49.00036204863853,20.107635235802057,53.31945880638998,41.00117269951517,21.805849864162116,0.0,4.567099647791355,0.0,19.242709486974704,13.596937701798876,82.73235206793191,0.0,11.49902366656781,14.90251629950064,0.0,11.49902366656781,0.0,18.16403734959023,6.496859684315945,0.0,44.27329659457384,77.30356167603136,0.0,21.805849864162116,0.0,40.46,144.08233560336362,4.794537184071822,0.0,4.567099647791355,0.0,0.0,0.0,0.0,0.0,0.0,41.00117269951517,199.08857425145357,0.0,13.885960052066595,-2.37129826007511,-4.171305858021695,-2.703995889999574,-13.93333269081051,-8.822607237339383,-8.48605091805241,-3.5692767825548426,0.2083333333333333,28,0,4,0,0,0,3,1,4,4,0,4,8,0,0,0,4,5.022500000000004,113.43700000000004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CHEMBL1290282,CN1CCCC(C(=O)NCC(C)(C)CN(C2=NS(=O)(=O)c3cc(F)ccc32)c2ccccc2)C1,4.920818753952375,15.017900240189974,-5.788761414872312,15.017900240189974,0.8477918193218525,0.677883393499504,486.6129999999997,455.3650000000003,486.2100900720008,182,0,0.2846381446015908,-0.3552163512846188,0.3552163512846188,0.2846381446015908,1.4411764705882353,2.235294117647059,2.9705882352941178,2.324838351073641,2474.732463444469,51.5220613574102,47.29981201686451,17.116308597792237,28.466713917640053,24.072812821386638,10.065662554687316,6.166663362015557,7.707618517970791,3.755343809611423,4.990732589055524,2.4447645260825226,3.55551465383247,-2.78,3658693224469.317,6.702861253882666,9.461960881701184,5.306594194999581,243.8859100483589,15.109632814989332,10.71270431656367,7.24746186408547,5.907179729351506,10.023291153407584,0.0,4.794537184071822,4.39041504767482,8.417796984328938,4.397710993081425,31.831040357581244,56.43062992557343,63.57157841212963,19.60154324706528,60.13734797951044,27.45347694319992,0.0,10.209723084138854,15.706659147841282,31.34511751276789,37.8631753683965,59.72002199404925,0.0,0.0,10.209723084138854,10.077801322358384,0.0,0.0,58.023771867834206,14.817828337479405,17.126168995805752,73.13584221405377,57.632544129905554,1.4118420783282006,0.0,0.0,82.08000000000001,177.90046305731238,15.953851280741198,4.39041504767482,0.0,0.0,0.0,0.0,0.0,0.0,4.397710993081425,39.793081651094376,306.49380457140364,0.0,10.742388105005915,-1.724916401765023,-9.064241686770709,-12.476278797182651,-13.14224944214174,-9.454932318694834,-34.584812614982184,-5.788761414872312,0.44,34,1,7,0,2,2,2,0,2,5,1,9,9,0,1,1,4,3.2654000000000023,130.9225,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CHEMBL1290062,CC(=O)N1CCN(C(=O)NCCCN(C2=NS(=O)(=O)c3ccccc32)c2ccccc2)CC1,4.301029995663981,13.906051838394443,-5.434374149154151,13.906051838394443,0.5255357563889658,0.6742234231765222,469.56699999999984,442.35100000000034,469.1783753440007,174,0,0.3170200022594196,-0.3393873196426527,0.3393873196426527,0.3170200022594196,1.1515151515151516,1.818181818181818,2.5454545454545454,2.049163358935537,2308.2373464645134,47.17676189578944,42.77730942981911,16.59380601074683,26.49940598809116,21.75877512336389,9.75162485666457,5.569272305720947,7.11022746167618,3.580258006828227,4.815646786272328,2.2394181039640517,3.3115923942234757,-3.3999999999999986,654539263084.5807,6.816026305121391,9.615465009533226,5.00282227759978,231.29196418621532,20.00954254583981,4.895483475517775,7.24746186408547,5.907179729351506,10.023291153407584,6.031114512338072,4.794537184071822,4.794537184071822,8.417796984328938,4.397710993081425,30.212093538316477,30.54259973198256,69.42071499510388,23.302895454893736,55.058435891226544,33.484591455537995,0.0,15.109632814989332,4.397710993081425,18.120300494142832,43.88106783674615,59.94521986066665,0.0,0.0,10.209723084138854,10.481923458755384,0.0,0.0,74.97268857937242,14.817828337479405,0.0,54.42799097074782,63.67496283756885,1.4118420783282006,0.0,0.0,102.39,170.540812462083,18.00687135247258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.397710993081425,37.05156453875393,252.4945174525062,0.0,22.48491143778394,-1.3876318710450208,-2.908305381859397,-4.205444142845665,-14.934042496768502,-4.822423023546989,-31.3705411584038,-5.434374149154151,0.3478260869565217,33,1,9,0,2,2,2,0,2,5,1,10,6,0,1,1,4,1.9059,125.79550000000002,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CHEMBL1289847,Cc1c(C(=O)NCCCN(C2=NS(=O)(=O)c3ccccc32)c2ccccc2)oc2ccccc12,6.040958607678906,13.843999093685444,-5.331478469331061,13.843999093685444,0.3823439895675649,0.4159628164732929,473.5539999999999,450.3700000000004,473.1409272160007,172,0,0.2868201568241346,-0.4506245349933503,0.4506245349933503,0.2868201568241346,1.1176470588235294,1.8529411764705883,2.676470588235294,1.8204486623504368,2573.4292147480733,43.77062002292412,39.38288223881919,17.19937881974692,25.726586171541843,20.371258482095943,10.36410821539663,6.178974494215826,7.719929650171058,4.173090801698472,5.408479581142572,2.760871699456474,3.8330459897158975,-3.9099999999999984,505113395483.1772,7.812491255015201,8.79377590795085,3.966611788323274,229.70510132851584,14.6268740211922,10.478503617160015,13.007709282959912,0.0,15.930470882759089,0.0,4.794537184071822,0.0,8.417796984328938,4.397710993081425,48.33934966130636,43.436910556941534,47.53105984670625,17.819861230212858,49.19801541952718,38.42272129930696,0.0,5.309813353288376,4.397710993081425,18.120300494142832,17.893629099482368,95.43859360189128,0.0,0.0,10.209723084138854,5.687386274683562,0.0,0.0,33.1543158680696,10.023291153407584,6.851892117295679,58.21130072341453,92.2617886052754,1.4118420783282006,10.969244356107035,0.0,91.98,170.2851481172614,13.212334168400758,0.0,4.899909730850478,0.0,0.0,0.0,0.0,0.0,4.397710993081425,35.985681251126394,226.5883337740839,0.0,12.136482491039285,-1.8662756374687148,-4.896861984723483,-5.298384174511659,-15.262082036725086,-4.559017870265393,-12.42738275876446,-5.331478469331061,0.1538461538461538,34,1,7,0,1,1,3,1,4,5,1,8,7,0,0,0,5,4.516820000000004,131.85399999999996,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CHEMBL16917,C=CCN(C)C(=O)N[C@H]1CC[C@](CNC(=O)c2ccccc2OC)(c2ccccc2)CC1,6.709965388637482,14.340771246012055,-5.234728258587388,14.340771246012055,1.187022525831546,0.6126484833325964,435.5679999999997,402.30400000000026,435.25219191600087,170,0,0.3171331524326423,-0.4959244721564048,0.4959244721564048,0.3171331524326423,1.40625,2.15625,2.875,2.7470164994061785,2274.5030532714823,51.67676189578944,48.56638565789146,15.566385657891464,28.6481234623267,24.526171356177496,8.13174416517758,5.4001435579663415,5.4001435579663415,3.4724152321158623,3.4724152321158623,2.066666121495635,2.066666121495635,-3.279999999999999,3548419141088.769,5.43524785342654,10.844352985734128,5.494218639654176,236.67853997842835,20.25639939122728,5.749511833283905,2.8236841566564013,0.0,5.907179729351506,6.031114512338072,4.794537184071822,4.794537184071822,0.0,6.531038962001867,48.34900269967863,43.1399885123411,46.48077332453302,40.016575073984,59.64313671987697,11.938294241689578,0.0,15.51953643742723,0.0,36.92458254306394,27.00749872779673,78.09178206040107,0.0,5.749511833283905,15.3564896603768,4.794537184071822,5.749511833283905,0.0,49.863595168686416,5.41499046939678,0.0,83.90665501406014,66.96487907700708,2.8236841566564013,0.0,0.0,70.67,175.23120584366254,17.813625705164963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,37.09264806091191,281.3246528433901,0.0,27.115589375081104,-2.789494555217028,-9.146052452188751,-4.258557112738243,-24.48966978591445,-20.828408001413507,-15.532317725279428,-3.729075919053197,0.3846153846153846,32,2,6,1,0,1,2,0,2,3,2,6,10,1,0,1,3,4.133000000000004,127.06190000000004,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CHEMBL317791,C[C@H](OC(=O)NCc1ccccc1-c1ccccc1C(=O)NCCc1ccccn1)c1ccccc1,6.301029995663981,14.295428880484272,-4.204438437468779,14.295428880484272,0.8977343990725224,0.3223109600127187,479.57999999999976,450.3480000000003,479.22089178800087,182,0,0.4075048880151905,-0.441656693565026,0.441656693565026,0.4075048880151905,0.9722222222222222,1.6944444444444444,2.5277777777777777,2.0598965389854373,2659.2373771012267,50.502670830493,46.566385657891466,17.566385657891466,29.312696254607747,23.80256455842752,9.4081373674276,6.021673492424683,6.021673492424683,3.813050862474544,3.813050862474544,2.347472927495845,2.347472927495845,-4.449999999999998,10608629849284.684,7.29106018108987,12.31081526510768,6.569637632192105,251.77350008556556,15.356489660376802,6.080018026949988,2.8236841566564013,0.0,5.907179729351506,6.093240070938415,9.77851570501903,4.794537184071822,0.0,0.0,78.55144319962284,47.23295420707354,46.39222886051305,27.415171123404395,54.16010249519607,12.00041980028992,0.0,15.60360522752396,0.0,25.801694729890997,6.496859684315945,125.23587700336697,0.0,11.126902983393991,10.619626706576751,4.794537184071822,0.0,0.0,23.481258005553077,17.606647539445373,0.0,77.12121081485289,102.85159453342747,2.8236841566564013,11.126902983393991,0.0,80.32,191.28138090783463,9.589074368143644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,44.571028127052415,244.94907201593605,0.0,31.2942666810068,-1.895206016514169,-9.26972155595174,-2.2795742403478423,-21.325418984606983,-11.682757287583591,-12.373993945271812,0.0,0.1666666666666666,36,2,6,0,0,0,3,1,4,4,2,6,10,0,0,0,4,5.708500000000004,140.32989999999984,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CHEMBL366546,CCOc1ccccc1[C@H](C)CC1(O)C(C)=C[C@@H](OC(C)=O)[C@@]2(C)C1CC[C@]1(C)C2[C@H](OC(C)=O)[C@H](OC(C)=O)[C@@]2([C@@H](C)OC(C)=O)COCC=CC12,7.6709465822468035,15.164586623550024,-7.915949166257159,15.164586623550024,1.991549680990343,0.1651354634624831,738.9150000000024,680.4510000000001,738.3979126760015,292,0,0.3027389143598656,-0.4935886740547303,0.4935886740547303,0.3027389143598656,1.1132075471698113,1.9245283018867925,2.641509433962264,2.8682736961074604,4048.051037959884,89.03265123696059,83.4907311951025,25.49073119510249,47.981046331952726,42.37835875940669,13.470110468942837,10.1451955118123,10.1451955118123,7.277667894576588,7.277667894576588,5.426185122266712,5.426185122266712,-3.7,5.724545236192841e+36,9.284336062655749,15.205974679483118,6.9223921579377,394.86334135656347,33.52998591390751,23.98956591413387,6.080018026949988,1.4311996572326342,0.0,23.8772211518074,19.178148736287287,0.0,0.0,0.0,50.78707596694805,80.10840337146323,99.4408165561144,53.99589246402313,130.84137235189718,23.8772211518074,1.4311996572326342,0.0,33.926844464279576,123.45277648109165,19.676955728748865,53.462446090526136,0.0,5.749511833283905,4.736862953800049,0.0,5.749511833283905,0.0,80.01530764767975,42.86246350528753,33.926844464279576,177.2283427557073,47.89899459882914,0.0,0.0,0.0,143.89,260.1457557497376,47.281816900300775,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,14.58253409870731,65.61368382605015,564.6052425344253,0.0,59.25156666991791,4.608696597351882,-36.51448964153144,-47.13306455640241,-20.121489712500143,-50.24813430245048,-73.6149942554774,0.0,0.6666666666666666,53,1,11,3,1,4,1,0,1,11,1,11,21,2,0,2,5,6.258000000000007,195.5497999999993,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHEMBL549528,COc1cc2nc3occc3c(OCCCCOc3ccccc3)c2cc1OC,6.823908740944319,8.728368413721967,-4.2889012506402935,8.728368413721967,0.825050607164848,0.362641182263442,393.4389999999997,370.25500000000017,393.1576228360006,150,0,0.2296949294664997,-0.4935995055268729,0.4935995055268729,0.2296949294664997,0.9655172413793104,1.7241379310344829,2.5172413793103448,1.9984891246138972,2057.227220707209,40.05759526334293,36.98845504781927,13.988455047819274,23.293018975457304,18.988455047819272,7.488455047819273,4.898555922888905,4.898555922888905,3.2705053353996907,3.2705053353996907,2.1324712627743336,2.1324712627743336,-3.409999999999999,30046719808.75745,5.813749131185201,8.73058624773593,4.060669490905925,200.8239587423216,23.364602752253543,12.86978222273803,11.49902366656781,5.713496644793708,0.0,0.0,0.0,4.9839785209472085,0.0,0.0,18.127256122989884,36.91552463331194,16.91167714680897,69.00966898158354,54.89204954416865,22.002645791339564,0.0,4.9839785209472085,0.0,12.74584980265876,27.193875403597755,54.5785642961471,0.0,22.99804733313562,18.9474518152002,0.0,22.99804733313562,0.0,32.17785392454496,0.0,0.0,44.27329659457384,58.99571523320044,0.0,22.002645791339564,0.0,62.95000000000002,139.51898262687885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,54.89204954416865,209.28486629275244,0.0,3.868705724734852,-1.8093349585507956,-1.716148982974191,-4.956395207787982,-8.672189736542913,-9.542284456601983,-8.271569286169466,-6.852316055526605,0.2608695652173913,29,0,6,0,0,0,2,2,4,6,0,6,11,0,0,0,4,5.236200000000005,111.28500000000004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CHEMBL281622,CCCCC/N=c1\ccn(Cc2ccccc2)c2ccccc12,6.698970004336019,8.819841059989194,-4.210600045850824,8.819841059989194,0.0894804970312277,0.5831265170362682,304.4369999999996,280.245,304.19394876800067,118,0,0.0818811220378398,-0.3429335763496643,0.3429335763496643,0.0818811220378398,1.0434782608695652,1.8695652173913044,2.739130434782609,2.656325730188331,1837.2104071893616,36.944711088220565,35.39442719099992,11.394427190999917,20.856671577999315,18.118033988749893,6.118033988749895,3.854837387624885,3.854837387624885,2.4864356881873904,2.4864356881873904,1.6006771909999158,1.6006771909999158,-2.349999999999999,2171828376.59305,3.663885298952659,7.774470708007134,3.8937278265529582,171.40404850110525,4.567099647791355,0.0,0.0,0.0,0.0,0.0,4.992404732635669,0.0,0.0,0.0,67.9370915812608,24.021213808352964,36.88966579944344,31.43530950847586,32.89820534808528,10.902924932081056,0.0,4.567099647791355,4.992404732635669,32.467526505599764,6.496859684315945,77.51776422745101,0.0,0.0,5.3572304483063045,0.0,0.0,0.0,11.0639593321073,6.496859684315945,0.0,64.43232366106616,71.5894870200834,0.0,10.902924932081056,0.0,17.29,127.38507534944782,0.0,0.0,4.567099647791355,0.0,0.0,0.0,0.0,0.0,4.992404732635669,32.89820534808528,194.87169161756705,0.0,3.374531427533771,-2.3226475891282434,-2.1839722446672782,0.0,-11.008221031401476,-13.859360980983515,-11.372021198920248,0.0,0.2857142857142857,23,0,2,0,0,0,2,1,3,2,0,2,7,0,0,0,3,4.780500000000004,97.43700000000004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
